state,year,so2,no2,rspm,spm,pm2_5
Delhi,2002.0,10.95,36.97608695652174,,338.86021505376345,
Delhi,2003.0,9.939169139465875,42.35407407407408,130.9125,373.006106870229,
Delhi,2004.0,,,135.19943566591422,340.0913580246914,
Delhi,2005.0,9.254005934718101,49.02800546448088,139.0984081041968,356.72157434402334,
Delhi,2006.0,9.548440366972477,46.42901459854014,163.26915520628683,417.5261194029851,
Delhi,2007.0,6.324870466321244,48.81644295302013,175.82264150943396,388.9206896551724,
Delhi,2008.0,7.091782945736433,58.361538461538466,218.01754385964912,437.91260744985675,
Delhi,2009.0,6.486854460093897,50.07406876790831,251.4135893648449,487.4756446991404,
Delhi,2011.0,5.325136612021858,58.49180327868852,222.2055172413793,,
Delhi,2012.0,7.444444444444445,81.68402777777777,236.79861111111111,,
Delhi,2013.0,4.487084870848708,89.73431734317343,228.21033210332104,,
Delhi,2014.0,5.137174211248285,63.49245541838135,217.1131284916201,,
Delhi,2015.0,5.638850889192886,67.35655737704919,218.83492496589358,,95.11320754716981
Goa,1987.0,4.058333333333334,9.066666666666668,,85.47058823529412,
Goa,1988.0,4.988888888888889,15.488888888888889,,138.77777777777777,
Goa,1989.0,4.3909090909090915,12.572727272727274,,144.45454545454547,
Goa,1990.0,6.283333333333334,9.549999999999999,,125.66666666666667,
Goa,1991.0,6.541666666666667,8.409090909090908,,114.25,
Goa,1992.0,5.9,9.1,,55.63636363636363,
Goa,1993.0,16.2,32.8,,,
Goa,1994.0,25.2125,19.400000000000002,,,
Goa,1995.0,81.1,30.1,,231.0,
Goa,1996.0,65.56666666666666,24.308333333333334,,192.83333333333334,
Goa,1997.0,74.8,26.016666666666666,,125.0,
Goa,1998.0,55.9,26.866666666666664,,169.08333333333334,
Goa,1999.0,28.360000000000003,21.48,,248.6,
Goa,2000.0,50.61666666666667,29.141666666666666,,91.08333333333333,
Goa,2001.0,46.02727272727273,32.945454545454545,,,
Goa,2002.0,28.2,37.775,,,
Goa,2003.0,0.0,0.0,0.0,0.0,
Goa,2004.0,2.724380165289256,10.777366255144033,51.98601398601399,145.2633744855967,
Goa,2005.0,11.59047619047619,15.20263157894737,52.3,127.09210526315789,
Goa,2006.0,10.322222222222223,11.349751243781096,49.83386581469649,114.65705128205128,
Goa,2007.0,4.411363636363636,13.724497991967873,50.45245901639344,116.46078431372548,
Goa,2008.0,4.366666666666666,15.450000000000001,94.0,164.14285714285714,
Goa,2009.0,5.465079365079365,14.19579831932773,71.23134328358209,155.7537313432836,
Goa,2010.0,12.337349397590362,21.537190082644628,68.00655737704918,,
Goa,2011.0,8.65101387406617,16.52991452991453,94.44930629669157,35.947240356083086,
Goa,2012.0,6.231884057971015,17.44927536231884,81.36764705882354,,
Goa,2013.0,7.0479495268138805,11.904040404040405,53.37660747091243,23.31215210355987,
Goa,2014.0,3.259259259259259,7.527777777777778,55.592592592592595,,
Goa,2015.0,4.399652978600347,9.512492736780942,55.40809248554913,,18.855611510791366
Gujarat,1987.0,17.788732394366196,27.26901408450704,,247.94366197183098,
Gujarat,1988.0,18.225806451612904,32.20967741935484,,267.0967741935484,
Gujarat,1989.0,23.243243243243242,29.9972972972973,,286.60135135135135,
Gujarat,1990.0,17.995336787564767,24.940414507772022,,273.625,
Gujarat,1991.0,21.78121546961326,24.59613259668508,,305.23952095808386,
Gujarat,1992.0,21.646835443037972,36.733544303797466,,221.96794871794873,
Gujarat,1993.0,28.022807017543858,21.226315789473684,,263.0,
Gujarat,1994.0,36.147441860465115,20.974883720930233,,354.5427135678392,
Gujarat,1995.0,50.59908256880734,22.25550458715596,,281.0596330275229,
Gujarat,1996.0,42.33160173160174,20.431168831168833,,257.55128205128204,
Gujarat,1997.0,21.493684210526318,18.614851485148513,,222.990099009901,
Gujarat,1998.0,12.458333333333334,26.456666666666667,,254.21666666666667,
Gujarat,1999.0,31.487058823529413,43.35056179775281,,286.20652173913044,
Gujarat,2000.0,10.755102040816327,25.098333333333336,,268.3333333333333,
Gujarat,2001.0,11.536170212765958,31.220689655172414,,358.52777777777777,
Gujarat,2002.0,13.935338345864663,28.230075187969923,,244.0091743119266,
Gujarat,2003.0,0.0,0.0,0.0,0.06153846153846154,
Gujarat,2004.0,18.606937370956643,27.98595320027529,143.12230186078565,194.9725706409373,
Gujarat,2005.0,17.21020282728949,27.72972972972973,126.27429274292743,238.01538461538462,
Gujarat,2006.0,16.407115384615384,25.749551282051282,114.60141206675225,199.74261874197688,
Gujarat,2007.0,16.430328295987493,25.436875,95.78671510119356,200.090295796575,
Gujarat,2008.0,14.225190452006094,22.669222955815133,87.7977698935631,189.75823618854537,
Gujarat,2009.0,16.12158154859967,23.94510989010989,91.9654794520548,192.3380821917808,
Gujarat,2010.0,15.479081632653061,23.016326530612243,88.46173469387755,,
Gujarat,2011.0,14.943669250645994,25.14470284237726,88.33693972179289,,
Gujarat,2012.0,15.258530183727034,26.37270341207349,94.93350393700787,,
Gujarat,2013.0,12.744554455445545,18.740831134564644,85.95981554677206,28.76979374584165,
Gujarat,2014.0,14.255570275079487,20.130897047676,87.00719152161999,,30.466313398940198
Gujarat,2015.0,14.369444444444444,20.891666666666666,86.9675925925926,,31.05185185185185
Haryana,1987.0,43.41818181818182,18.919999999999998,,384.14285714285717,
Haryana,1988.0,33.2125,11.870833333333332,,325.27272727272725,
Haryana,1989.0,30.38095238095238,11.842857142857142,,272.3333333333333,
Haryana,1990.0,30.758333333333336,10.200000000000001,,309.4166666666667,
Haryana,1991.0,33.75714285714286,9.771428571428572,,251.73333333333332,
Haryana,1992.0,32.03913043478261,7.456521739130435,,294.14285714285717,
Haryana,1993.0,33.225,10.904166666666667,,243.25,
Haryana,1994.0,33.588461538461544,15.261538461538462,,306.14285714285717,
Haryana,1995.0,36.3235294117647,16.48235294117647,,312.875,
Haryana,1996.0,32.85,15.72272727272727,,276.1,
Haryana,1997.0,31.27058823529412,16.711764705882356,,234.7058823529412,
Haryana,1998.0,33.29090909090909,18.09090909090909,,301.8181818181818,
Haryana,1999.0,27.39230769230769,10.615384615384615,,306.22222222222223,
Haryana,2000.0,25.4125,10.0375,,295.125,
Haryana,2001.0,22.85,14.11111111111111,,313.1666666666667,
Haryana,2002.0,18.280555555555555,23.369444444444444,,431.1666666666667,
Haryana,2004.0,12.95226480836237,22.324738675958187,143.14285714285714,245.37630662020905,
Haryana,2005.0,10.573643410852712,22.7788,127.07600950118764,280.92161520190024,
Haryana,2006.0,10.15978835978836,19.490459363957598,146.50379746835443,268.735368956743,
Haryana,2007.0,8.061581920903956,12.177707006369427,110.46927374301676,182.66480446927375,
Haryana,2008.0,9.668032786885245,14.194166666666666,166.04918032786884,234.3846153846154,
Haryana,2009.0,12.694117647058825,27.291176470588233,274.94117647058823,327.64516129032256,
Haryana,2010.0,14.634408602150538,23.672043010752688,161.5779569892473,361.13461538461536,
Haryana,2011.0,13.702272727272728,27.795454545454547,143.92938496583145,,
Haryana,2012.0,9.711340206185566,27.859106529209622,159.6644329896907,,
Haryana,2013.0,12.168141592920353,25.920353982300885,190.6283185840708,,
Haryana,2014.0,13.110619469026549,24.349557522123895,178.3849557522124,,
Haryana,2015.0,15.294871794871796,72.85897435897436,104.5909090909091,,
